SID,SMILES,-log10(Carcinogenicity-Rat_(TD50) [mmol/kg-bw/day])
48413648,CCC(C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C.Cl,0.7594507517174003
48413650,CN(C)CNC1=NN=C(O1)C=CC2=CC=C(O2)[N+](=O)[O-],1.0958256317158366
48413654,CC[NH2+]C(=O)N(CCN(C)C)N=O.N(=O)[O-],2.5243288116755704
48413656,CN(C)C1=CC=CC=C1,-0.012837224705172217
48413657,C[As](=O)(C)O,1.0830199526796178
48413660,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N.Cl.Cl,2.6556077263148894
48413667,CN(C)NC1=NC(=CS1)C2=CC=C(O2)[N+](=O)[O-],2.7931741239681505
48413668,CN(C)[N+](=O)[O-],2.2168113089247425
48413670,CC(=CCl)C,0.4546928835341759
48413675,CN1C=NC(=C1C(=O)N(C)N=O)N(C)N=O,3.0920514783877278
48413676,C1CN(CCN(C1)N=O)N=O,3.4100503986742923
48413679,CC1=C(C=CC=C1[N+](=O)[O-])[N+](=O)[O-],2.795880017344075
48413684,C1COCCO1,-0.48144262850230496
48413687,CCCCCN(CCCCC)N=O,1.665546248849069
48413704,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C.C(CC(=O)O)C(=O)O,-0.617000341120899
48413721,C1C(O1)CCl,1.494850021680094
48413724,CCC1CO1,-0.4842998393467858
48413731,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O,3.170696227168975
48413733,CCSCCC(C(=O)O)N,1.5171264163912463
48413734,CCSCCC(C(=O)O)N,1.2232988160115892
48413735,CCOC1=CC=C(C=C1)NC(=O)N,-0.4742162640762552
48413738,CCOC(=O)C=C,-0.07554696139253074
48413739,CCO,-2.296665190261531
48413740,CCN=[N+](CC)[O-],3.6675615400843946
48413741,CC[N+](=NC)[O-],3.6675615400843946
48413748,CCN(C(=O)N)N=O,2.0915149811213505
48413751,CCC1=CC=CC=C1,0.16494389827988373
48413755,C1CO1,0.31515463835558755
48413756,C1CNC(=S)N1,1.099086932262331
48413762,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,-0.26245108973042947
48413764,CCN(C(=O)NCCO)N=O,2.489454989793388
48413765,CCN(C(=O)NCC(=O)C)N=O,2.9788107009300617
48413766,CCN(C#N)N=O,1.4306260903849541
48413782,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,0.5800442515102421
48413784,C1C2=CC=CC=C2C3=C1C=C(C=C3)NC(=O)C(F)(F)F,2.2335871528876003
48413787,CC(=O)NC1=CC=C(C=C1)C2=CC=C(C=C2)F,2.3555614105321614
48413788,C(CF)N(C(=O)N)N=O,3.0338582672609675
48413791,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F,0.5171264163912462
48413792,C=O,1.3467874862246563
48413794,CC1=CSC(=N1)NNC=O,1.0381045263321496
48413795,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)NNC=O,1.7011469235902934
48413798,CCOP(=O)=O.CCOP(=O)=O.CCOP(=O)=O.[Al+3],-1.0128372247051722
48413799,CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O,2.6819366650372385
48413801,C1=COC=C1,2.2350770153501114
48413802,C1=COC(=C1)C=O,-0.8518696007297664
48413803,C1=COC(=C1)CO,1.009217308196862
48413808,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,0.005682847330363273
48413813,CC1=CC=CN2C1=NC3=C2N=C(C=C3)N,1.6252516539898962
48413814,C1=CC2=NC3=C(N2C=C1)N=C(C=C3)N,0.638272163982407
48413823,C1C(O1)CO,1.238072161579471
48413824,C(C(=O)O)N,-2.534026106056135
48413828,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5.[Na+],-0.9429995933660404
48413829,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=C(C=C5)S(=O)(=O)[O-].[Na+].[Na+],-0.8518696007297664
48413834,C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=C(C(=C(C=C3O2)Cl)Cl)Cl,5.818156412055227
48413835,C1C2=CC(=C(C=C2C3C1(COC4=C3C=CC(=C4O)O)O)O)O,-0.5198279937757188
48413839,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,1.8664610916297826
48413840,C(=C(Cl)Cl)(C(=C(Cl)Cl)Cl)Cl,0.5985994592184558
48413841,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,1.4145392704914994
48413841,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,1.4145392704914994
48413846,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,0.6307841425898572
48413848,CC=CC=CC=O,0.1890957193312996
48413851,C(N(CO)C1=NC(=NC(=N1)N(CO)CO)N(CO)CO)O,1.47755576649368
48413852,CN(C)P(=O)(N(C)C)N(C)C,3.7166987712964503
48413857,CCCCCCN(C(=O)N)N=O,2.5287082889410613
48413861,NN,1.7189666327522726
48413862,NN.OS(=O)(=O)O,0.5030703519267851
48413863,C1=CC(=CC=C1C2=CSC(=N2)NN)N,2.3018994543766103
48413864,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)NN,1.85078088734462
48413865,C1=CC(=CC=C1C2=CSC(=N2)NN)[N+](=O)[O-],1.8664610916297826
48413869,C1=CC=C(C=C1)NNC2=CC=CC=C2,1.518557371497695
48413871,C(C(F)(F)F)(Cl)Cl,-1.1903316981702914
48413875,C1=CC(=CC=C1O)O,0.12378215940835775
48413878,CC(=O)N(C1=CC2=C(C=C1)C3=CC=CC=C3C2)O,2.384049948343599
48413881,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O,0.3798639450262425
48413883,C1CN(C(=O)N1CCO)N=CC2=CC=C(O2)[N+](=O)[O-],1.2055119533408303
48413884,CCNC(=O)N(CCO)N=O,2.4571745730408203
48413885,C(CO)N(C(=O)N)N=O,2.7375489102695707
48413886,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=C(S3)[N+](=O)[O-])NCCO,2.2284125191187445
48413888,C(CN(C(=O)N)N=O)CO,2.1771783546968955
48413890,C=CC(C1=CC2=C(C=C1)OCO2)O,0.9871627752948278
48413892,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,1.3990271043132518
48413893,C1=CN(N=C1NC(=NCC(F)(F)F)N)CCCCC(=O)N,-0.5820633629117087
48413898,CC1(C2=C(C=CC(=C2)C3=NNC(=O)CC3)NC1=O)C,2.1073489661226996
48413899,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,2.4934949675951277
48413900,CC(C1OCC(O1)CO)I,0.40782324260413316
48413904,CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,2.3872161432802645
48413905,CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N.Cl,1.853871964321762
48413907,CC=C1CC(C(C(=O)OCC2=CC[N+]3(C2C(CC3)OC1=O)[O-])(CO)O)C,2.709965388637482
48413908,CC(=C)C,-1.801403710017355
48413910,CC(C)CON=O,0.2798406965940431
48413915,COC1=C(C=CC(=C1)S(=O)C)C2=NC3=C(N2)C=NC=C3,0.6108339156354675
48413916,C1=CN=CC=C1C(=O)NN,-0.03742649794062367
48413920,CC1=CC(=O)CC(C1)(C)C,-0.9420080530223133
48413921,C1CN(P(=O)(OC1)NCCCl)CCCl,2.54821356447571
48413922,CC(=C)C=C,-0.6627578316815741
48413933,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,2.219682687859849
48413936,CC=C(C)C(=O)OC1CCN2C1C(=CC2)COC(=O)C(C(C)OC)(C(C)(C)O)O,3.024568191490737
48413937,CC(=O)[O-].CC(=O)[O-].[Pb+2],0.8446639625349383
48413938,CC(=O)O[Pb]OC(=O)C.O.O.O.O.[Pb].[Pb],0.6497519816658371
48413942,CC1=CCC(CC1)C(=C)C,-0.17609125905568124
48413949,CN1C(=NC(=N1)CO)NCCCOC2=CC=CC(=C2)CN3CCCCC3,-0.12385164096708583
48413950,CC1=NC=C(C=C1)CC2=CN=C(NC2=O)NCCSCC3=CC=C(O3)CN(C)C.Cl.Cl.Cl,-0.8082109729242221
48413957,C(=C[O-])C=O.[Na+],-0.11394335230683678
48413958,C(CNC(=S)[S-])NC(=S)[S-].[Mn+2],0.22767829327708025
48413963,CC1=C(N=C2C(=C1)C3=CC=CC=C3N2)[NH3+].CC(=O)[O-],1.585026652029182
48413965,CC1=CN=C2C=CC3=C(C2=N1)N=C(N3C)N,2.109020403010311
48413966,C1(=NC(=NC(=N1)N)N)N,-0.7656685547590141
48413968,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,3.5128616245228135
48413971,C1=CC=C2C(=C1)NC(=S)S2,-0.31386722036915343
48413975,[Cl-].[Cl-].[Hg+2],1.9393021596463882
48413979,CC1CN1P(=O)(N2CC2C)N3CC3C,1.6840296545430822
48413983,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2.Cl,1.5128616245228135
48413985,CN1C=CNC1=S,2.0004345117740177
48413990,COC1=C(C=C2C(=C1)C3=CC=CC=C3O2)N,0.8664610916297825
48413991,COC1=CC=CC(=C1O)O,0.45842075605341914
48413993,COC1=CC=C(C=C1)O,-0.724275869600789
48413995,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,0.8239087409443188
48413996,CCN=[N+](C)[O-],0.8827287043442358
48413998,CC(C)(C)OC,-0.9009130677376691
48413999,COC(=O)N,0.12262865413022594
48414002,CC(C)(C(=O)OC)OC1=CC=C(C=C1)C2=CC=C(C=C2)Cl,1.8041003475907664
48414004,CC1=CC(=CC=C1)N=NC2=CC=C(C=C2)N(C)C,1.8632794328435933
48414005,CN(C1=CC=C(C=C1)N=O)N=O,2.1040252676409352
48414012,CN(C(=N[N+](=O)[O-])N)N=O,2.2628073572952627
48414013,CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)[N+](=O)[O-],0.49894073778224846
48414014,CC1CN(C(=O)N1)N=CC2=CC=C(O2)[N+](=O)[O-],1.6497519816658373
48414015,CN(C1=CC=C(C=C1)C=CC2=CC=NC3=CC=CC=C23)N=O,2.616184634019569
48414016,CN(C(=O)C1=CC=CC=C1)N=O,1.705533773838407
48414017,CN(C(=O)NCCCC(C(=O)O)N)N=O,2.4424927980943423
48414018,CC1CCCCN1N=O,0.7986028756795485
