SID,SMILES,-log10(Carcinogenicity-Mouse_(TD50) [mmol/kg-bw/day])
48413515,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,1.4056074496245734
48413516,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,1.442492798094342
48413533,CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,1.005243055412372
48413535,C=CCN(CC=C)N,0.5783960731301689
48413536,C=CCNNCC=C.Cl.Cl,0.7375489102695705
48413540,COC1=C(C=C(C=C1)N)N.OS(=O)(=O)O,-0.5831987739686227
48413543,C1=CC(=C(C=C1N)N)O.Cl.Cl,0.1390633792999063
48413544,CC1=C(C=C(C=C1)N)N,0.6595558851598816
48413545,CC1=C(C=C(C=C1)N)N.Cl.Cl,-0.01703333929878037
48413551,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,1.6757175447023074
48413555,C(C(CBr)Br)Cl,1.9393021596463882
48413556,C(C(C(C(C(CBr)O)O)O)O)Br,1.4473317838878068
48413557,C(CBr)Br,1.401209493236885
48413558,C(C(C(C(C(CBr)O)O)O)O)Br,1.3151546383555874
48413562,CC(C)(C#C)NC(=O)C1=CC(=CC(=C1)Cl)Cl,0.2620126736665692
48413569,C1=C(C=C(C(=C1Cl)N)Cl)N,-0.6570558528571039
48413570,C(C(=O)O)(Cl)Cl,0.03479829897408793
48413571,C(#CCl)Cl,2.218244625347531
48413573,C1=CC(=CC=C1Cl)Cl,-0.3424226808222063
48413575,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N.Cl.Cl,1.4236586497942072
48413577,C(C=CCCl)Cl,1.9136401693252518
48413582,C(CCl)Cl,-0.14301480025409505
48413592,CC(CCl)Cl,-0.3873898263387294
48413593,COP(=O)(OC)OC=C(Cl)Cl,0.4962093169428189
